FROM_BRANCH,LORRY_ROUTE_FROM,FROM_LAT,FROM_LONG,TO_BRANCH,LORRY_ROUTE_TO,TO_LAT,TO_LONG,COUNT(*)
AMBALA HUB-HARYANA,103,30.23361,76.85074,AMBALA HUB-HARYANA,4108,21.4397166,86.8472901,1
KUNDLI BORDER SONIPAT-HARYANA,1309,28.862816,77.123806,KUNDLI BORDER SONIPAT-HARYANA,1306,28.677483,77.1419,11
BARODA AIR CARGO,606,22.245,73.0484,BARODA AIR CARGO,803,22.6484768,88.4357884,1
BHUJ-GUJARAT,308,23.2627058,69.9509695,BHUJ-GUJARAT,1323,28.3046774,77.3004412,2
TATA-CCD-HARYANA,1359,28.3154,76.8749,TATA-CCD-HARYANA,1808,26.905539,81.05155,2
KUNDLI BORDER SONIPAT-HARYANA,1309,28.862816,77.123806,KUNDLI BORDER SONIPAT-HARYANA,1307,28.6831148,76.9606879,8
NALAGARH-HIMACHAL PRADESH,1107,31.04085,76.69497,NALAGARH-HIMACHAL PRADESH,301,22.8584141,72.3796371,2
SAHARANPUR-UTTAR PRADESH,2207,29.9676,77.578,SAHARANPUR-UTTAR PRADESH,1352,28.5432697,77.5631391,1
GOA,1501,15.3635,73.9486,GOA,2117,19.2924351,73.1082178,39
NAGPUR WADI,2501,21.133502,78.8936551,NAGPUR WADI,3502,23.1662722,77.5090901,7
ZIRAKPUR I-PUNJAB,1110,30.6596,76.8172,ZIRAKPUR I-PUNJAB,1110,30.6596,76.8172,33
WAGHOLI - PUNE - MAHARASTRA,2801,18.5738,73.959,WAGHOLI - PUNE - MAHARASTRA,1904,30.3699,76.4745,1
ADITYAPUR-JHARKHAND,3409,22.8047583,86.1181322,ADITYAPUR-JHARKHAND,1104,31.4966,75.8345,1
ROORKEE UTTARANCHAL-UTTRAKHAND,4003,29.921192,77.829423,ROORKEE UTTARANCHAL-UTTRAKHAND,2115,19.2060096,72.9502528,2
SILVASSA-GUJARAT,1203,20.2951,72.9909,SILVASSA-GUJARAT,3501,22.8366327,75.9450594,7
PUZHAL CHENNAI-TAMILNADU,1002,13.156826,80.222013,PUZHAL CHENNAI-TAMILNADU,3201,17.7023,83.1733,3
AHMEDABAD-GUJARAT,301,22.8584141,72.3796371,AHMEDABAD-GUJARAT,1901,30.8772,75.9122,2
DELHI 13 NO-DELHI,1304,28.6739,77.1415,DELHI 13 NO-DELHI,1303,28.5323,77.1102,3
NARSAPURA-KARNATAKA,525,13.1314,77.9763,NARSAPURA-KARNATAKA,525,13.1314,77.9763,14
RUDRAPUR-UTTRAKHAND,3301,29.01588,79.4086,RUDRAPUR-UTTRAKHAND,1108,31.671749,76.1182,2
PATANCHERU-TELANGANA,1608,17.5253,78.2717,PATANCHERU-TELANGANA,1802,15.29472,75.147747,1
TIKRI BORDER-DELHI,1307,28.6831148,76.9606879,TIKRI BORDER-DELHI,1318,28.4875,77.063,7
MITROL PALWAL-HARYANA,1344,28.0463739,77.3416418,MITROL PALWAL-HARYANA,801,22.519,88.3033,2
SANAND  AHMEDABAD-GUJARAT,319,22.9731286,72.2752609,SANAND  AHMEDABAD-GUJARAT,2833,18.751795,73.606048,1
GREATER NOIDA-UTTAR PRADESH,1312,28.448128,77.530355,GREATER NOIDA-UTTAR PRADESH,1914,34.1049,74.7599,1
GGN HERO HONDA-HARYANA,1327,28.3962,76.993,GGN HERO HONDA-HARYANA,1338,28.201997,77.320682,4
FARIDABAD-HARYANA,1308,28.4509963,77.3193081,FARIDABAD-HARYANA,901,11.0746,77.1115,7
